Location,YEAR,TOTAL_COLLISIONS,BICYLCLES_IN_TOTAL,PEDESTRIANS_IN_TOTAL,X,Y
ANNA AVE @ CARLING AVE (0006248),2015,1,,,365197.6989,5027892.5471
ANNA AVE btwn MERIVALE RD & MARSHALL AVE (__3ZBOO0),2015,1,,,364919.84638,5027157.85686
ANOKA ST @ EDGE HILL PL (0007083),2015,1,,,370256.7219,5026800.5351
ANTARES DR btwn AURIGA DR & WEST HUNT CLUB RD (__3ZBOMQ),2015,1,,,367034.709,5022034.99755
ANTHONY AVE @ WOODROFFE AVE (0002761),2015,2,,,361669.683,5026448.5329
ANTIGONISH AVE @ TRIM RD (0014879),2015,1,,,384943.9021,5038876.799
APELDOORN AVE @ NORMANDY CRES N (0003371),2015,1,,,367022.7079,5024997.5219
APOLLO WAY E @ MERKLEY DR E (0004867),2015,1,,,384175.757,5037642.5721
APPLE HILL DR @ SIEVERIGHT AVE (0010125),2015,1,,,372435.4501,5024311.5521
APPLE ORCHARD RD @ DEER VALLEY CRES E (0013560),2015,1,,,375226.703,5011956.617
APPLE ORCHARD RD @ GREELY WEST DR/SPARTAN GROV (0011529),2015,1,,,375704.28,5012261.097
APPLE ORCHARD RD btwn BYLES WAY & DEER VALLEY CRES (__6K49MM),2015,1,,,375018.95276,5011824.13047
APPLEFORD ST @ OGILVIE RD (0009519),2015,5,,,375316.7279,5033687.5811
APPLEFORD ST btwn MILLGREEN CRES & MILLGREEN CRES (__45KOYC),2015,1,,,374840.47381,5033769.57305
APPLETON DR @ MEADOWBROOK RD (0013073),2015,3,,,374928.731,5032230.5701
APPLETON DR btwn ROYAL GALA PRIV & ROYAL GALA PRIV (__4BRXJN),2015,1,,,375249.71622,5031967.57663
AQUAVIEW DR @ ESPRIT DR (0012798),2015,1,,,384967.3929,5035746.3581
AQUAVIEW DR btwn Continuation of AQUAVIEW DR & Continuation of AQUAVIE (__5UW2CX),2015,1,,,385562.2945,5035986.08355
AQUAVIEW DR btwn CROWBERRY ST & LOUIS TOSCANO DR (__5JY42H),2015,2,,,384582.3215,5035321.88355
AQUAVIEW DR btwn ESPRIT DR & CARMELLA CRES (__4V3I8A),2015,1,,,384994.64603,5035757.41084
ARBORDALE CRES btwn CENTREPOINTE DR & CENTREPOINTE DR (__3ZA004),2015,1,,,362565.00151,5022426.19738
ARC-EN-CIEL ST btwn SOLANO TER & NORTHAMPTON DR (__3ZA5RG),2015,1,,,384592.74732,5036928.47768
ARCH ST btwn FLEMING AVE & CANTERBURY AVE (__3ZA73L),2015,2,,,372866.09877,5028157.48691
ARCH ST btwn PLEASANT PARK RD & BANGOR ST (__3ZA74D),2015,1,,,372822.7299,5028568.04655
ARCH ST btwn WESTON DR & VINCENT ST (__3ZBOZ5),2015,1,,,372799.22945,5028777.0475
ARCO WAY btwn REDWIN ST & JAY AVE (__3ZA6OI),2015,1,,,364863.43235,5020690.51788
ARDMORE ST btwn EARNSCLIFFE GROVE & GUERNSEY PL (__86L63U),2015,1,,,367967.98905,5014203.49355
ARENA PL @ BANK ST (0004129),2015,1,,,375400.7521,5021519.494
ARGUE DR btwn PHILLIP DR & GOODWIN AVE (__3ZBOMK),2015,1,,,366513.47521,5024168.54329
ARGYLE AVE @ BANK ST (0007251),2015,1,1,,367997.3519,5030372.8661
ARGYLE AVE @ O'CONNOR ST (0007254),2015,8,,1,368184.7079,5030485.5679
ARGYLE AVE @ QUEEN ELIZABETH DRWY (0007132),2015,1,,,368693.709,5030753.5701
ARGYLE AVE btwn ELGIN ST & CARTIER ST (__3ZA9TT),2015,3,,,368586.209,5030691.56955
ARGYLE AVE btwn METCALFE ST & METCALFE ST (__3ZA3QQ),2015,3,,,368390.20845,5030610.069
ARGYLE AVE E @ METCALFE ST (0007280),2015,2,,,368442.709,5030641.569
ARGYLE AVE N @ ELGIN ST (0007262),2015,2,,,368493.709,5030671.569
ARGYLE AVE W @ METCALFE ST (0007722),2015,1,1,,368337.7079,5030578.569
ARIZONA AVE btwn JEFFERSON ST & FLORIDA AVE (__3ZA9PA),2015,1,,,371830.7279,5027219.037
ARLINGTON AVE @ BANK ST (0007261),2015,3,1,,368010.135,5030342.7359
ARLINGTON AVE @ BAY ST (0007457),2015,1,1,,367584.706,5030086.5649
ARLINGTON AVE @ BRONSON AVE (0006759),2015,6,1,,367222.7049,5029867.563
ARLINGTON AVE @ KENT ST (0007259),2015,5,,,367868.7071,5030257.566
ARLINGTON AVE btwn BAY ST & LYON ST N (__3ZA965),2015,1,,,367645.70655,5030123.5649
ARLINGTON AVE btwn CAMBRIDGE ST N & BRONSON AVE (__3ZA0PP),2015,2,,,367171.7049,5029846.063
ARLINGTON AVE btwn LYON ST N & KENT ST (__3ZA97P),2015,1,,,367787.7071,5030209.06545
ARLINGTON AVE btwn PERCY ST & BAY ST (__3ZA96L),2015,1,,,367517.206,5030045.5645
ARMSTRONG ST @ BAYVIEW RD (0005751),2015,1,,,365685.6989,5030021.566
ARMSTRONG ST @ HOLLAND AVE (0006151),2015,1,,,364862.6959,5029306.5589
ARMSTRONG ST @ PARKDALE AVE (0006267),2015,4,,,365090.697,5029404.56
ARROWWOOD DR btwn BAYWOOD DR & HARTSMERE DR (__49PTLD),2015,1,,,351186.15984,5012072.57309
ARTHUR ST @ SOMERSET ST (0005109),2015,4,,1,366829.9449,5030390.6011
ARTHUR ST btwn CHRISTIE ST & GLADSTONE AVE (__3ZAAK4),2015,1,,,366954.01708,5030093.5493
ARTHUR ST btwn PRIMROSE AVE & SOMERSET ST W (__3ZA0W4),2015,1,,,366788.65645,5030488.72662
ASHENVALE WAY btwn EMERILLON RIDGE & RAVENSWOOD WAY (__7JQ60K),2015,1,,,385758.38179,5034938.50425
ASHLEY ST @ HWY 417 GREENBA IC126R51 (0003039),2015,1,,,360377.6751,5023310.5049
ASHTON STATION RD btwn COPELAND RD & FRANKTOWN RD (__3ZAC6R),2015,2,,,345736.65931,4997126.23639
ASHTON STATION RD btwn MALLOCH LANE & COPELAND RD (__3ZAC6S),2015,1,,,344737.41759,4998275.32391
ASHTON STATION RD btwn MCLINTON RD & MALLOCH LANE (__3ZAC6U),2015,1,,,343820.95043,4999321.24057
ASSALY RD @ REGINA ST (0002785),2015,1,,,360661.6781,5025598.5249
ASSALY RD @ RICHMOND RD (0002682),2015,2,,,360729.6781,5025528.5249
ATHANS AVE @ COUNCILLOR'S WAY/LEVADIA AVE (0009572),2015,1,,,373138.7381,5024071.5129
ATHENA WAY btwn ESCADE DR & AMBIANCE DR (__4O3JGX),2015,1,,,366839.90867,5016924.87987
ATHLONE AVE @ BYRON AVE (0006656),2015,2,1,,363522.691,5028273.5499
ATHLONE AVE @ RICHMOND RD (0006293),2015,3,,,363453.691,5028441.5521
ATHLONE AVE btwn RICHMOND RD & BYRON AVE (__3ZA0JU),2015,1,,,363488.191,5028357.551
AUGUSTA ST @ RIDEAU ST (0011916),2015,3,,1,369012.8101,5032717.2589
AURIGA DR @ DEAKIN ST (0000179),2015,1,,,367144.7101,5021589.494
AVE. DU PERE CHARLEBOIS AVE btwn AVE. MONSEIGNEUR LEMIEUX AVE & AVE. V (__3ZA2J2),2015,1,,,371192.65821,5032242.80486
AVEIA PRIV/DAIRY DR @ OLD MONTREAL RD (0014909),2015,1,,,385062.7389,5039589.7959
AVENUE P btwn AVENUE Q & TREMBLAY RD (__3ZA9N3),2015,1,,,371791.35507,5031201.81557
AVENUE RD/ECHO DR @ RIVERDALE AVE (0007557),2015,1,,1,369111.169,5029042.2159
